x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89627.638759,43132.647327,0,0.000000,0.000000,0.343605,0.939114,5.354779
89625.798310,43134.991446,0,0.000000,0.000000,0.308329,0.951280,5.148059
89624.116602,43137.452094,0,0.000000,0.000000,0.290035,0.957016,6.649209
89622.451230,43139.924215,0,0.000000,0.000000,0.292412,0.956292,7.618332
89620.781468,43142.393534,0,0.000000,0.000000,0.296031,0.955178,8.292840
89619.083777,43144.843347,0,0.000000,0.000000,0.296320,0.955089,8.330000
89617.423903,43147.319977,0,0.000000,0.000000,0.287892,0.957663,8.330000
89615.781101,43149.804446,0,0.000000,0.000000,0.288467,0.957490,8.330000
89614.149438,43152.291870,0,0.000000,0.000000,0.280158,0.959954,7.682825
89612.663209,43154.867484,0,0.000000,0.000000,0.222192,0.975003,4.130085
89611.728299,43157.705704,0,0.000000,0.000000,0.081727,0.996655,3.362759
89611.861644,43160.652823,0,0.000000,0.000000,-0.131541,0.991311,3.433188
89613.274972,43163.351442,0,0.000000,0.000000,-0.334485,0.942401,3.366983
89615.594043,43165.176860,0,0.000000,0.000000,-0.565843,0.824513,3.028045
89618.413991,43165.450910,0,0.000000,0.000000,-0.746638,0.665230,2.925172
89621.340111,43164.795361,0,0.000000,0.000000,-0.810397,0.585880,4.410790
89624.040363,43163.533044,0,0.000000,0.000000,-0.877272,0.479994,3.919189
89626.302057,43161.592958,0,0.000000,0.000000,-0.936053,0.351859,4.289671
89627.945343,43159.103198,0,0.000000,0.000000,-0.970325,0.241803,4.362044
89629.220708,43156.432990,0,0.000000,0.000000,-0.982561,0.185941,4.193658
89630.070892,43153.589600,0,0.000000,0.000000,-0.992562,0.121741,6.590195
89630.800681,43150.682459,0,0.000000,0.000000,-0.992312,0.123765,6.877907
89631.529085,43147.783291,0,0.000000,0.000000,-0.992678,0.120790,6.268174
89632.241778,43144.905456,0,0.000000,0.000000,-0.991623,0.129169,5.792118
89633.149746,43142.088341,0,0.000000,0.000000,-0.981776,0.190043,5.141279
89634.540544,43139.454734,0,0.000000,0.000000,-0.953922,0.300056,4.233904
89636.613113,43137.347554,0,0.000000,0.000000,-0.887362,0.461074,3.717443
89639.399683,43136.119823,0,0.000000,0.000000,-0.781593,0.623788,3.638178
89642.358823,43136.061281,0,0.000000,0.000000,-0.611094,0.791558,3.569286
89644.889312,43137.498472,0,0.000000,0.000000,-0.432093,0.901829,2.395166
89646.474800,43139.919600,0,0.000000,0.000000,-0.137762,0.990465,1.250580
89646.831863,43142.846745,0,0.000000,0.000000,0.008436,0.999964,1.883912
89646.484752,43145.803388,0,0.000000,0.000000,0.102704,0.994712,1.976958
89645.602521,43148.712297,0,0.000000,0.000000,0.185492,0.982646,1.921183
89644.354161,43151.442425,0,0.000000,0.000000,0.238175,0.971222,1.872329
89642.853741,43153.990067,0,0.000000,0.000000,0.288147,0.957586,1.965784
89641.094288,43156.364993,0,0.000000,0.000000,0.336965,0.941517,2.037931
89639.130358,43158.582341,0,0.000000,0.000000,0.367746,0.929926,3.226500
89637.067763,43160.735225,0,0.000000,0.000000,0.376730,0.926323,3.971615
89634.946862,43162.864265,0,0.000000,0.000000,0.386776,0.922174,4.646422
89632.783866,43164.956103,0,0.000000,0.000000,0.393077,0.919505,5.966609
89630.622178,43167.023555,0,0.000000,0.000000,0.391394,0.920223,7.240489
89628.512922,43169.089523,0,0.000000,0.000000,0.381403,0.924409,8.126014
89626.489021,43171.235422,0,0.000000,0.000000,0.353619,0.935389,8.066890
89624.632149,43173.517868,0,0.000000,0.000000,0.320038,0.947405,7.592800
89622.820126,43175.989148,0,0.000000,0.000000,0.294456,0.955665,5.388135
89621.361813,43178.736788,0,0.000000,0.000000,0.164844,0.986320,3.618247
89621.492178,43181.344585,0,0.000000,0.000000,-0.141435,0.989948,3.263962
89622.941151,43184.040674,0,0.000000,0.000000,-0.334752,0.942306,2.997063
89625.282163,43185.956371,0,0.000000,0.000000,-0.520874,0.853634,3.114606
89628.143049,43186.712729,0,0.000000,0.000000,-0.688518,0.725219,1.251462
89630.912243,43186.225229,0,0.000000,0.000000,-0.818452,0.574576,2.201209
89633.636870,43184.943266,0,0.000000,0.000000,-0.852581,0.522596,4.013024
89636.494650,43183.623748,0,0.000000,0.000000,-0.828068,0.560627,5.028845
89639.366896,43182.781355,0,0.000000,0.000000,-0.760019,0.649900,4.532785
89642.220647,43182.692089,0,0.000000,0.000000,-0.684170,0.729323,3.965370
89645.157966,43183.148953,0,0.000000,0.000000,-0.609986,0.792412,2.881797
89647.969169,43184.129153,0,0.000000,0.000000,-0.549318,0.835614,4.993156
89650.581168,43185.553757,0,0.000000,0.000000,-0.475608,0.879657,3.019109
89653.044514,43187.233298,0,0.000000,0.000000,-0.475410,0.879764,2.098307
89655.676264,43188.601409,0,0.000000,0.000000,-0.571925,0.820306,3.470401
89658.612877,43189.214020,0,0.000000,0.000000,-0.689140,0.724629,3.180709
89661.551300,43188.814552,0,0.000000,0.000000,-0.818705,0.574215,3.523092
89664.004133,43187.170930,0,0.000000,0.000000,-0.931034,0.364932,3.450301
89665.457200,43184.596356,0,0.000000,0.000000,-0.990066,0.140605,3.212947
89665.636520,43181.629231,0,0.000000,0.000000,0.996839,0.079454,3.102876
89664.546476,43178.897080,0,0.000000,0.000000,0.952659,0.304040,3.568437
89662.276249,43176.981875,0,0.000000,0.000000,0.852374,0.522933,1.410100
89659.450838,43176.083467,0,0.000000,0.000000,0.782216,0.623007,4.788001
89656.582931,43175.201063,0,0.000000,0.000000,0.829288,0.558822,6.230452
89653.961230,43173.934199,0,0.000000,0.000000,0.851290,0.524695,5.209121
89651.213856,43172.719761,0,0.000000,0.000000,0.835237,0.549890,4.107003
89648.458329,43171.225245,0,0.000000,0.000000,0.893812,0.448441,3.681074
89647.125283,43168.877981,0,0.000000,0.000000,0.990129,0.140161,3.430114
89646.643568,43165.918585,0,0.000000,0.000000,-0.999658,0.026167,3.494353
89647.499386,43163.094078,0,0.000000,0.000000,-0.961421,0.275082,3.174775
89649.596736,43160.999025,0,0.000000,0.000000,-0.879439,0.476011,3.734724
89652.339881,43159.890850,0,0.000000,0.000000,-0.774311,0.632805,1.792745
89655.330673,43159.747592,0,0.000000,0.000000,-0.676979,0.736002,3.607102
89658.360293,43160.355809,0,0.000000,0.000000,-0.586163,0.810193,3.971424
89660.784210,43161.726302,0,0.000000,0.000000,-0.427218,0.904149,2.583546
89662.664929,43163.879066,0,0.000000,0.000000,-0.309252,0.950980,3.567988
89664.627769,43166.458402,0,0.000000,0.000000,-0.340702,0.940171,3.715415
89666.781873,43168.552346,0,0.000000,0.000000,-0.480757,0.876854,2.991384
89669.473056,43169.301224,0,0.000000,0.000000,-0.676609,0.736343,3.152490
89672.392578,43169.063401,0,0.000000,0.000000,-0.805363,0.592783,2.022944
89675.061740,43167.696103,0,0.000000,0.000000,-0.883447,0.468532,4.458871
89677.433460,43165.827531,0,0.000000,0.000000,-0.914120,0.405443,3.925060
89679.397341,43163.630399,0,0.000000,0.000000,-0.954704,0.297559,4.132007
89680.714253,43160.959226,0,0.000000,0.000000,-0.988718,0.149788,4.156380
89681.080526,43158.014427,0,0.000000,0.000000,0.999417,0.034151,3.826284
89680.251701,43155.168973,0,0.000000,0.000000,0.969981,0.243179,4.175879
89678.379129,43152.869994,0,0.000000,0.000000,0.909203,0.416353,2.289108
89675.873283,43151.214763,0,0.000000,0.000000,0.860076,0.510165,5.148424
89673.264267,43149.839807,0,0.000000,0.000000,0.845484,0.534000,5.974173
89670.541794,43148.793875,0,0.000000,0.000000,0.808155,0.588970,6.883672
89667.651219,43147.887771,0,0.000000,0.000000,0.808089,0.589060,7.360243
89664.813154,43146.883348,0,0.000000,0.000000,0.828843,0.559481,6.630411
89662.137840,43145.554058,0,0.000000,0.000000,0.877253,0.480028,5.018994
89659.873086,43143.691946,0,0.000000,0.000000,0.922206,0.386698,4.295878
89658.004730,43141.378529,0,0.000000,0.000000,0.962719,0.270503,3.705674
89656.930647,43138.625380,0,0.000000,0.000000,0.996562,0.082855,3.264787
89656.855394,43135.638162,0,0.000000,0.000000,-0.999483,0.032156,1.116949
89657.055516,43132.662489,0,0.000000,0.000000,-0.999903,0.013894,3.241169
89656.849947,43129.662958,0,0.000000,0.000000,0.995948,0.089934,3.629683
89655.855308,43126.886683,0,0.000000,0.000000,0.965283,0.261206,3.454224
89653.858617,43124.751105,0,0.000000,0.000000,0.884982,0.465626,3.263169
89651.147930,43123.536281,0,0.000000,0.000000,0.795519,0.605929,3.235465
89648.220360,43122.935810,0,0.000000,0.000000,0.755863,0.654730,5.063506
89645.249684,43122.752489,0,0.000000,0.000000,0.699753,0.714385,4.739172
89642.280246,43123.046052,0,0.000000,0.000000,0.642654,0.766157,4.528464
89639.394135,43123.787026,0,0.000000,0.000000,0.581983,0.813201,4.356962
89636.659737,43124.962144,0,0.000000,0.000000,0.518162,0.855283,4.202488
89634.119138,43126.516270,0,0.000000,0.000000,0.461081,0.887358,4.188048
89631.779937,43128.364955,0,0.000000,0.000000,0.411355,0.911475,4.044275
89629.635334,43130.434219,0,0.000000,0.000000,0.373564,0.927604,5.590508
