lanelet_or_way_id,role,index,latitude,longitude,x,y,local_x,local_y
14,centerline,0,35.6258089637,139.7814649006,3.2152,-1.1749,89657.1633,43130.0203
14,centerline,1,35.6258024100,139.7814650674,3.2303,-1.9037,89657.1694,43129.2932
14,centerline,2,35.6257958562,139.7814652342,3.2454,-2.6324,89657.1755,43128.5661
14,centerline,3,35.6257893025,139.7814654011,3.2604,-3.3612,89657.1816,43127.8390
14,centerline,4,35.6257827753,139.7814653356,3.2545,-4.0870,89657.1667,43127.1151
14,centerline,5,35.6257763828,139.7814636227,3.0997,-4.7978,89657.0028,43126.4080
14,centerline,6,35.6257701748,139.7814611561,2.8768,-5.4881,89656.7709,43125.7222
14,centerline,7,35.6257644575,139.7814572918,2.5275,-6.1238,89656.4131,43125.0924
14,centerline,8,35.6257591578,139.7814526327,2.1064,-6.7131,89655.9839,43124.5098
14,centerline,9,35.6257547052,139.7814468742,1.5859,-7.2082,89655.4563,43124.0224
14,centerline,10,35.6257504574,139.7814408575,1.0421,-7.6805,89654.9056,43123.5580
14,centerline,11,35.6257463506,139.7814346973,0.4853,-8.1372,89654.3421,43123.1094
14,centerline,12,35.6257423171,139.7814284830,-0.0763,-8.5857,89653.7738,43122.6690
14,centerline,13,35.6257385390,139.7814220208,-0.6604,-9.0058,89653.1834,43122.2572
14,centerline,14,35.6257348376,139.7814154768,-1.2519,-9.4174,89652.5857,43121.8540
14,centerline,15,35.6257312494,139.7814087985,-1.8555,-9.8164,89651.9760,43121.4635
14,centerline,16,35.6257277332,139.7814020209,-2.4681,-10.2074,89651.3574,43121.0811
14,centerline,17,35.6257242417,139.7813952882,-3.0766,-10.5956,89650.7429,43120.7014
14,centerline,18,35.6257217620,139.7813880289,-3.7327,-10.8713,89650.0821,43120.4345
14,centerline,19,35.6257207782,139.7813800876,-4.4505,-10.9807,89649.3616,43120.3343
14,centerline,20,35.6257212571,139.7813721727,-5.1659,-10.9275,89648.6455,43120.3963
14,centerline,21,35.6257223855,139.7813642866,-5.8786,-10.8020,89647.9329,43120.5303
14,centerline,22,35.6257236374,139.7813564075,-6.5908,-10.6628,89647.2211,43120.6780
1483,centerline,0,35.6257680137,139.7812100188,-19.8219,-5.7284,89634.0254,43125.7643
1483,centerline,1,35.6257753893,139.7812042089,-20.3470,-4.9082,89633.5094,43126.5889
1483,centerline,2,35.6257827650,139.7811983989,-20.8722,-4.0881,89632.9934,43127.4135
1483,centerline,3,35.6257901444,139.7811925955,-21.3967,-3.2676,89632.4780,43128.2385
1483,centerline,4,35.6257975246,139.7811867955,-21.9209,-2.4469,89631.9629,43129.0636
1483,centerline,5,35.6258048828,139.7811809515,-22.4491,-1.6287,89631.4438,43129.8863
1483,centerline,6,35.6258121694,139.7811749773,-22.9891,-0.8185,89630.9128,43130.7012
1483,centerline,7,35.6258194569,139.7811690019,-23.5291,-0.0081,89630.3817,43131.5162
1483,centerline,8,35.6258267811,139.7811630956,-24.0630,0.8063,89629.8569,43132.3352
1483,centerline,9,35.6258341154,139.7811572079,-24.5951,1.6218,89629.3338,43133.1553
1483,centerline,10,35.6258414488,139.7811513201,-25.1273,2.4372,89628.8107,43133.9753
1483,centerline,11,35.6258487675,139.7811454017,-25.6622,3.2510,89628.2848,43134.7937
1483,centerline,12,35.6258560247,139.7811393760,-26.2068,4.0580,89627.7491,43135.6054
1483,centerline,13,35.6258632544,139.7811333033,-26.7557,4.8619,89627.2091,43136.4141
1483,centerline,14,35.6258704813,139.7811272239,-27.3052,5.6655,89626.6685,43137.2225
1483,centerline,15,35.6258776980,139.7811211248,-27.8564,6.4680,89626.1261,43138.0298
1483,centerline,16,35.6258849185,139.7811150323,-28.4071,7.2709,89625.5843,43138.8375
1483,centerline,17,35.6258921398,139.7811089409,-28.9577,8.0738,89625.0426,43139.6453
1483,centerline,18,35.6258996187,139.7811033535,-29.4627,8.9054,89624.5469,43140.4811
1483,centerline,19,35.6259071353,139.7810978385,-29.9611,9.7413,89624.0578,43141.3210
1483,centerline,20,35.6259146133,139.7810922478,-30.4664,10.5728,89623.5618,43142.1567
1483,centerline,21,35.6259220139,139.7810864905,-30.9868,11.3957,89623.0506,43142.9840
1483,centerline,22,35.6259294346,139.7810807715,-31.5037,12.2208,89622.5429,43143.8135
1483,centerline,23,35.6259369280,139.7810751905,-32.0081,13.0540,89622.0478,43144.6509
1483,centerline,24,35.6259444214,139.7810696084,-32.5127,13.8873,89621.5526,43145.4883
1483,centerline,25,35.6259517027,139.7810636453,-33.0516,14.6969,89621.0226,43146.3026
1483,centerline,26,35.6259589444,139.7810576021,-33.5978,15.5022,89620.4853,43147.1126
1483,centerline,27,35.6259661777,139.7810515348,-34.1462,16.3065,89619.9458,43147.9217
1483,centerline,28,35.6259733898,139.7810454237,-34.6986,17.1084,89619.4023,43148.7285
1483,centerline,29,35.6259806268,139.7810393574,-35.2468,17.9131,89618.8629,43149.5380
1483,centerline,30,35.6259879510,139.7810334499,-35.7808,18.7275,89618.3380,43150.3570
1483,centerline,31,35.6259954039,139.7810277923,-36.2921,19.5563,89617.8359,43151.1900
1483,centerline,32,35.6260028929,139.7810222180,-36.7960,20.3890,89617.3414,43152.0269
1483,centerline,33,35.6260103904,139.7810166932,-37.2953,21.2227,89616.8514,43152.8647
1483,centerline,34,35.6260177101,139.7810107814,-37.8296,22.0366,89616.3261,43153.6832
2256,centerline,0,35.6263150910,139.7810846932,-31.1492,55.1039,89623.4282,43186.5845
2256,centerline,1,35.6263192408,139.7810933153,-30.3699,55.5653,89624.2147,43187.0351
2256,centerline,2,35.6263241457,139.7811018023,-29.6028,56.1107,89624.9900,43187.5696
2256,centerline,3,35.6263290851,139.7811102390,-28.8403,56.6599,89625.7608,43188.1080
2256,centerline,4,35.6263335170,139.7811190280,-28.0459,57.1527,89626.5628,43188.5897
2256,centerline,5,35.6263364363,139.7811287333,-27.1687,57.4773,89627.4457,43188.9026
2256,centerline,6,35.6263374413,139.7811386896,-26.2688,57.5891,89628.3487,43189.0029
2256,centerline,7,35.6263365118,139.7811480491,-25.4229,57.4857,89629.1950,43188.8893
2256,centerline,8,35.6263342307,139.7811569510,-24.6183,57.2321,89629.9980,43188.6263
2256,centerline,9,35.6263322800,139.7811705278,-23.3912,57.0152,89631.2248,43188.3947
2256,centerline,10,35.6263284373,139.7811817393,-22.3778,56.5879,89632.2348,43187.9559
2256,centerline,11,35.6263209962,139.7811937298,-21.2941,55.7605,89633.3104,43187.1171
2256,centerline,12,35.6263127008,139.7812009628,-20.6404,54.8381,89633.9540,43186.1889
2256,centerline,13,35.6263045937,139.7812077236,-20.0293,53.9366,89634.5551,43185.2821
2256,centerline,14,35.6262968628,139.7812119345,-19.6487,53.0770,89634.9258,43184.4199
2256,centerline,15,35.6262897526,139.7812176930,-19.1282,52.2863,89635.4375,43183.6248
2256,centerline,16,35.6262818627,139.7812241810,-18.5418,51.4090,89636.0142,43182.7424
