lanelet_or_way_id,role,index,latitude,longitude,x,y,local_x,local_y
14,left,0,35.6257983963,139.7815004725,6.4303,-2.3500,89660.3701,43128.8083
14,left,1,35.6257799860,139.7815015458,6.5273,-4.3971,89660.4420,43126.7651
14,left,2,35.6257628291,139.7815025460,6.6177,-6.3049,89660.5090,43124.8610
14,left,3,35.6257513821,139.7814992943,6.3238,-7.5777,89660.1988,43123.5950
14,left,4,35.6257415778,139.7814935463,5.8043,-8.6679,89659.6648,43122.5140
14,left,5,35.6257320537,139.7814837668,4.9204,-9.7269,89658.7661,43121.4686
14,left,6,35.6257238925,139.7814698511,3.6627,-10.6344,89657.4947,43120.5790
14,left,7,35.6257146293,139.7814526194,2.1052,-11.6644,89655.9215,43119.5709
14,left,8,35.6257090294,139.7814405719,1.0163,-12.2871,89654.8228,43118.9633
14,left,9,35.6257033376,139.7814280884,-0.1120,-12.9200,89653.6845,43118.3460
14,left,10,35.6256974864,139.7814162446,-1.1825,-13.5706,89652.6039,43117.7103
14,left,11,35.6256921514,139.7814073015,-1.9908,-14.1639,89651.7867,43117.1286
14,left,12,35.6256874828,139.7813997011,-2.6778,-14.6830,89651.0920,43116.6193
14,left,13,35.6256853561,139.7813841202,-4.0860,-14.9195,89649.6781,43116.4009
14,left,14,35.6256872180,139.7813726308,-5.1245,-14.7124,89648.6402,43116.6203
14,left,15,35.6256897627,139.7813534310,-6.8598,-14.4295,89646.9050,43116.9241
1483,left,0,35.6257471871,139.7811777636,-22.7372,-8.0442,89631.0758,43123.4905
1483,left,1,35.6257635586,139.7811652589,-23.8675,-6.2238,89629.9659,43125.3204
1483,left,2,35.6257827655,139.7811505998,-25.1924,-4.0880,89628.6648,43127.4672
1483,left,3,35.6258060962,139.7811320143,-26.8722,-1.4938,89627.0138,43130.0758
1483,left,4,35.6258317596,139.7811107044,-28.7983,1.3599,89625.1193,43132.9462
1483,left,5,35.6258564199,139.7810887925,-30.7787,4.1019,89623.1689,43135.7060
1483,left,6,35.6258735910,139.7810736044,-32.1515,6.0113,89621.8171,43137.6276
1483,left,7,35.6258943745,139.7810598136,-33.3980,8.3223,89620.5968,43139.9483
1483,left,8,35.6259279773,139.7810351179,-35.6300,12.0588,89618.4066,43143.7031
1483,left,9,35.6259359195,139.7810277390,-36.2970,12.9419,89617.7493,43144.5923
1483,left,10,35.6259438397,139.7810205901,-36.9431,13.8226,89617.1128,43145.4788
1483,left,11,35.6259578931,139.7810085136,-38.0346,15.3853,89616.0385,43147.0511
1483,left,12,35.6259709987,139.7809976563,-39.0159,16.8425,89615.0733,43148.5169
1483,left,13,35.6259830548,139.7809889373,-39.8040,18.1831,89614.3003,43149.8639
1483,left,14,35.6259914591,139.7809838350,-40.2651,19.1176,89613.8498,43150.8018
1483,left,15,35.6260005186,139.7809768311,-40.8982,20.1250,89613.2280,43151.8145
2256,left,0,35.6263440010,139.7810606130,-33.3256,58.3185,89621.2873,43189.8181
2256,left,1,35.6263574286,139.7810839876,-31.2129,59.8116,89623.4225,43191.2812
2256,left,2,35.6263640057,139.7810982444,-29.9244,60.5429,89624.7226,43191.9947
2256,left,3,35.6263682103,139.7811098814,-28.8726,61.0104,89625.7822,43192.4480
2256,left,4,35.6263718558,139.7811216815,-27.8060,61.4158,89626.8558,43192.8391
2256,left,5,35.6263739796,139.7811367115,-26.4476,61.6520,89628.2198,43193.0578
2256,left,6,35.6263726196,139.7811567117,-24.6399,61.5007,89630.0291,43192.8845
2256,left,7,35.6263713044,139.7811714417,-23.3086,61.3545,89631.3612,43192.7221
2256,left,8,35.6263672166,139.7811858725,-22.0042,60.9000,89632.6624,43192.2525
2256,left,9,35.6263613453,139.7812011774,-20.6209,60.2471,89634.0403,43191.5841
2256,left,10,35.6263498330,139.7812197184,-18.9452,58.9670,89635.7035,43190.2864
2256,left,11,35.6263376978,139.7812323830,-17.8005,57.6176,89636.8337,43188.9262
2256,left,12,35.6263268335,139.7812417211,-16.9565,56.4096,89637.6644,43187.7107
