lanelet_or_way_id,role,index,latitude,longitude,x,y,local_x,local_y
14,right,0,35.6258195301,139.7814293276,0.0000,0.0000,89653.9564,43131.2322
14,right,1,35.6258096566,139.7814289463,-0.0345,-1.0979,89653.9083,43130.1375
14,right,2,35.6258035668,139.7814287119,-0.0557,-1.7750,89653.8787,43129.4623
14,right,3,35.6257932874,139.7814255529,-0.3412,-2.9181,89653.5785,43128.3257
14,right,4,35.6257845721,139.7814200611,-0.8375,-3.8872,89653.0692,43127.3652
14,right,5,35.6257793616,139.7814152174,-1.2753,-4.4665,89652.6234,43126.7927
14,right,6,35.6257701689,139.7814060226,-2.1064,-5.4887,89651.7781,43125.7834
14,right,7,35.6257631942,139.7813976510,-2.8630,-6.2643,89651.0104,43125.0192
14,right,8,35.6257586142,139.7813884756,-3.6924,-6.7735,89650.1732,43124.5215
14,right,9,35.6257566108,139.7813806260,-4.4018,-6.9963,89649.4596,43124.3081
14,right,10,35.6257554885,139.7813689621,-5.4560,-7.1211,89648.4018,43124.1967
14,right,11,35.6257575112,139.7813593840,-6.3218,-6.8962,89647.5372,43124.4318
1483,right,0,35.6257888402,139.7812422740,-16.9066,-3.4126,89636.9750,43128.0381
1483,right,1,35.6258057448,139.7812285355,-18.1483,-1.5329,89635.7541,43129.9285
1483,right,2,35.6258233742,139.7812142648,-19.4381,0.4274,89634.4860,43131.8999
1483,right,3,35.6258429016,139.7811977777,-20.9283,2.5988,89633.0198,43134.0843
1483,right,4,35.6258632879,139.7811819732,-22.3568,4.8656,89631.6166,43136.3632
1483,right,5,35.6258885498,139.7811619648,-24.1652,7.6746,89629.8394,43139.1876
1483,right,6,35.6259239004,139.7811335797,-26.7307,11.6054,89627.3175,43143.1404
1483,right,7,35.6259461607,139.7811152379,-28.3885,14.0807,89625.6871,43145.6300
1483,right,8,35.6259686618,139.7810982462,-29.9243,16.5827,89624.1793,43148.1448
1483,right,9,35.6259805015,139.7810892511,-30.7373,17.8992,89623.3810,43149.4681
1483,right,10,35.6259854412,139.7810851489,-31.1080,18.4485,89623.0163,43150.0206
1483,right,11,35.6259994800,139.7810734105,-32.1690,20.0095,89621.9726,43151.5909
1483,right,12,35.6260183242,139.7810587260,-33.4962,22.1049,89620.6687,43153.6975
1483,right,13,35.6260349015,139.7810447306,-34.7612,23.9482,89619.4241,43155.5519
2256,right,0,35.6262849587,139.7811087920,-28.9711,51.7533,89625.5691,43183.2153
2256,right,1,35.6262850469,139.7811089551,-28.9563,51.7631,89625.5840,43183.2249
2256,right,2,35.6262915804,139.7811213143,-27.8392,52.4896,89626.7122,43183.9357
2256,right,3,35.6262962701,139.7811285854,-27.1821,53.0111,89627.3771,43184.4477
2256,right,4,35.6263028478,139.7811384494,-26.2905,53.7425,89628.2794,43185.1662
2256,right,5,35.6263055937,139.7811493809,-25.3025,54.0478,89629.2731,43185.4585
2256,right,6,35.6263038287,139.7811626843,-24.1001,53.8515,89630.4754,43185.2478
2256,right,7,35.6262957047,139.7811739320,-23.0835,52.9482,89631.4828,43184.3341
2256,right,8,35.6262833057,139.7811819042,-22.3629,51.5695,89632.1877,43182.9499
2256,right,9,35.6262694197,139.7811902137,-21.6119,50.0254,89632.9211,43181.4004
2256,right,10,35.6262614403,139.7811954300,-21.1404,49.1382,89633.3825,43180.5095
2256,right,11,35.6262527258,139.7812033871,-20.4212,48.1692,89634.0911,43179.5340
2256,right,12,35.6262458147,139.7812139406,-19.4674,47.4007,89635.0373,43178.7556
2256,right,13,35.6262372815,139.7812284101,-18.1596,46.4518,89636.3359,43177.7929
2256,right,14,35.6262342721,139.7812411626,-17.0070,46.1172,89637.4866,43177.4448
2256,right,15,35.6262312252,139.7812545683,-15.7953,45.7784,89638.6964,43177.0918
2256,right,16,35.6262301602,139.7812710315,-14.3073,45.6600,89640.1858,43176.9552
2256,right,17,35.6262302458,139.7812863608,-12.9218,45.6695,89641.5741,43176.9475
2256,right,18,35.6262308923,139.7813015104,-11.5525,45.7414,89642.9469,43177.0022
2256,right,19,35.6262337121,139.7813183143,-10.0337,46.0549,89644.4725,43177.2961
2256,right,20,35.6262363133,139.7813332178,-8.6867,46.3442,89645.8257,43177.5679
2256,right,21,35.6262403885,139.7813508596,-7.0922,46.7973,89647.4289,43178.0001
2256,right,22,35.6262449368,139.7813676892,-5.5711,47.3031,89648.9592,43178.4857
2256,right,23,35.6262484756,139.7813777660,-4.6603,47.6966,89649.8766,43178.8669
2256,right,24,35.6262537965,139.7813902132,-3.5353,48.2882,89651.0111,43179.4431
2256,right,25,35.6262606436,139.7814039867,-2.2904,49.0496,89652.2678,43180.1871
2256,right,26,35.6262688479,139.7814171686,-1.0990,49.9619,89653.4728,43181.0823
2256,right,27,35.6262764226,139.7814288859,-0.0399,50.8041,89654.5443,43181.9093
2256,right,28,35.6262824361,139.7814374433,0.7335,51.4728,89655.3275,43182.5667
2256,right,29,35.6262879744,139.7814448219,1.4004,52.0886,89656.0033,43183.1727
2256,right,30,35.6262939909,139.7814539369,2.2243,52.7576,89656.8370,43183.8298
2256,right,31,35.6262986251,139.7814656182,3.2801,53.2729,89657.9012,43184.3307
2256,right,32,35.6262982829,139.7814752791,4.1532,53.2349,89658.7756,43184.2819
2256,right,33,35.6262906267,139.7814874120,5.2499,52.3835,89659.8638,43183.4191
2256,right,34,35.6262756418,139.7814908274,5.5585,50.7173,89660.1525,43181.7532
2256,right,35,35.6262692304,139.7814892871,5.4193,50.0044,89660.0042,43181.0438
2256,right,36,35.6262608434,139.7814772144,4.3282,49.0718,89658.8994,43180.1271
2256,right,37,35.6262551108,139.7814641727,3.1494,48.4344,89657.7105,43179.5059
2256,right,38,35.6262520738,139.7814560152,2.4121,48.0967,89656.9676,43179.1782
2256,right,39,35.6262475234,139.7814469144,1.5895,47.5907,89656.1372,43178.6837
2256,right,40,35.6262424176,139.7814379888,0.7828,47.0229,89655.3219,43178.1274
2256,right,41,35.6262360801,139.7814269086,-0.2186,46.3182,89654.3098,43177.4369
2256,right,42,35.6262302952,139.7814118160,-1.5828,45.6750,89652.9351,43176.8122
2256,right,43,35.6262271293,139.7813986747,-2.7705,45.3230,89651.7407,43176.4758
2256,right,44,35.6262257288,139.7813875837,-3.7730,45.1672,89650.7344,43176.3329
2256,right,45,35.6262244994,139.7813740717,-4.9942,45.0305,89649.5091,43176.2117
2256,right,46,35.6262233673,139.7813610022,-6.1755,44.9046,89648.3240,43176.1008
2256,right,47,35.6262220697,139.7813431582,-7.7883,44.7604,89646.7063,43175.9769
2256,right,48,35.6262206657,139.7813311054,-8.8776,44.6042,89645.6129,43175.8347
2256,right,49,35.6262172428,139.7813200970,-9.8726,44.2236,89644.6113,43175.4674
2256,right,50,35.6262129334,139.7813128068,-10.5315,43.7444,89643.9452,43174.9976
2256,right,51,35.6262071398,139.7813030049,-11.4175,43.1002,89643.0496,43174.3660
2256,right,52,35.6261892399,139.7812869809,-12.8658,41.1099,89641.5739,43172.3986
2256,right,53,35.6261669184,139.7812783221,-13.6484,38.6278,89640.7591,43169.9325
2256,right,54,35.6261559348,139.7812764029,-13.8218,37.4065,89640.5702,43168.7164
2256,right,55,35.6261466093,139.7812760939,-13.8498,36.3695,89640.5294,43167.6824
2256,right,56,35.6261340636,139.7812782223,-13.6574,34.9745,89640.7049,43166.2885
2256,right,57,35.6261218594,139.7812825529,-13.2660,33.6175,89641.0803,43164.9300
2256,right,58,35.6261140469,139.7812866237,-12.8981,32.7488,89641.4382,43164.0589
2256,right,59,35.6261068205,139.7812924899,-12.3678,31.9452,89641.9595,43163.2508
2256,right,60,35.6260994873,139.7812974202,-11.9222,31.1298,89642.3959,43162.4319
2256,right,61,35.6260915148,139.7813063511,-11.1150,30.2433,89643.1937,43161.5376
2256,right,62,35.6260830040,139.7813222238,-9.6804,29.2970,89644.6194,43160.5758
2256,right,63,35.6260661909,139.7813721831,-5.1649,27.4274,89649.1205,43158.6549
2256,right,64,35.6260619749,139.7813836641,-4.1272,26.9586,89650.1544,43158.1744
2263,right,0,35.6260619749,139.7813836641,-4.1272,26.9586,89650.1544,43158.1744
2263,right,1,35.6260514240,139.7814123927,-1.5306,25.7854,89652.7415,43156.9719
2263,right,2,35.6260431432,139.7814417373,1.1216,24.8646,89655.3875,43156.0205
2263,right,3,35.6260389408,139.7814643667,3.1670,24.3974,89657.4310,43155.5290
2263,right,4,35.6260384549,139.7814858499,5.1087,24.3433,89659.3758,43155.4510
2263,right,5,35.6260414313,139.7815026349,6.6258,24.6743,89660.8999,43155.7623
2263,right,6,35.6260469703,139.7815203361,8.2257,25.2902,89662.5105,43156.3568
