x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89657.1633,43130.0203,0.0,0.0,0.0,-0.7041345051632447,0.7100666156344153,6.944444444444445
89657.1694,43129.2932,0.0,0.0,0.0,-0.7041345051632447,0.7100666156344153,6.944444444444445
89657.1755,43128.5661,0.0,0.0,0.0,-0.7041345051632745,0.7100666156343858,6.944444444444445
89657.1816,43127.839,0.0,0.0,0.0,-0.7041345051632447,0.7100666156344153,6.944444444444445
89657.1667,43127.1151,0.0,0.0,0.0,-0.7143453628176138,0.6997933285056178,6.944444444444445
89657.0028,43126.408,0.0,0.0,0.0,-0.7828809666272019,0.6221715134051526,6.944444444444445
89656.7709,43125.7222,0.0,0.0,0.0,-0.8125045598230697,0.5829548355290655,6.944444444444445
89656.4131,43125.0924,0.0,0.0,0.0,-0.8642819888249801,0.5030075981461285,6.944444444444445
89655.9839,43124.5098,0.0,0.0,0.0,-0.8925031127198846,0.4510412329103814,6.944444444444445
89655.4563,43124.0224,0.0,0.0,0.0,-0.9312723844472048,0.3643236829606573,6.944444444444445
89654.9056,43123.558,0.0,0.0,0.0,-0.9392722290466208,0.34317295893148736,6.944444444444445
89654.3421,43123.1094,0.0,0.0,0.0,-0.9440223952737026,0.32988136840643356,6.944444444444445
89653.7738,43122.669,0.0,0.0,0.0,-0.9461598539914167,0.3236997539309246,6.944444444444445
89653.1834,43122.2572,0.0,0.0,0.0,-0.9539907460913626,0.2998360491536089,6.944444444444445
89652.5857,43121.854,0.0,0.0,0.0,-0.9562969796342221,0.2923971387385044,6.944444444444445
89651.976,43121.4635,0.0,0.0,0.0,-0.959710436443192,0.2809908862970788,6.944444444444445
89651.3574,43121.0811,0.0,0.0,0.0,-0.9619249041010443,0.27331388342013824,6.944444444444445
89650.7429,43120.7014,0.0,0.0,0.0,-0.9619515323493061,0.2732201482519581,6.944444444444445
89650.0821,43120.4345,0.0,0.0,0.0,-0.9816371776534027,0.19075757245431124,6.944444444444445
89649.3616,43120.3343,0.0,0.0,0.0,-0.9976141043298329,0.06903693824457523,6.944444444444445
89648.6455,43120.3963,0.0,0.0,0.0,0.9990677868425749,0.0431689389895018,6.944444444444445
89647.9329,43120.5303,0.0,0.0,0.0,0.9956845010652199,0.09280287893435313,6.944444444444445
89647.2211,43120.678,0.0,0.0,0.0,0.9947719879185049,0.10212096774250588,6.944444444444445
89646.4403,43120.8705,0.0,0.0,0.0,0.9927052291851579,0.12056669502164838,6.944444444444445
89645.6616,43121.073,0.0,0.0,0.0,0.9919201086526442,0.12686409283373473,6.944444444444445
89644.8795,43121.2629,0.0,0.0,0.0,0.9929160824694215,0.11881773088885712,6.944444444444445
89644.0964,43121.4488,0.0,0.0,0.0,0.9932171558282475,0.11627416466458332,6.944444444444445
89643.3114,43121.6266,0.0,0.0,0.0,0.9938048425732644,0.11113925894088528,6.944444444444445
89642.5305,43121.819,0.0,0.0,0.0,0.9927142982788183,0.12049199970451686,6.944444444444445
89641.7506,43122.0152,0.0,0.0,0.0,0.9924170062564925,0.1229165802196794,6.944444444444445
89640.9555,43122.1372,0.0,0.0,0.0,0.9971038012730913,0.0760526757369633,6.944444444444445
89640.166,43122.2884,0.0,0.0,0.0,0.9955276971012031,0.09447012387191629,6.944444444444445
89639.3866,43122.4891,0.0,0.0,0.0,0.9920705893167742,0.12568192317381355,6.944444444444445
89638.6097,43122.6978,0.0,0.0,0.0,0.9914032569270663,0.13084182112155598,6.944444444444445
89637.8496,43122.9568,0.0,0.0,0.0,0.986548964749853,0.16346602139586494,6.944444444444445
89637.1034,43123.2546,0.0,0.0,0.0,0.9820306147063074,0.1887216780858842,6.944444444444445
89636.403,43123.6437,0.0,0.0,0.0,0.968029742125936,0.2508354407965387,6.944444444444445
89635.727,43124.0639,0.0,0.0,0.0,0.9615857891701316,0.27450459024587404,6.944444444444445
89635.1238,43124.5921,0.0,0.0,0.0,0.9360366988158857,0.351902399068064,6.944444444444445
89634.5692,43125.1731,0.0,0.0,0.0,0.9193698028716867,0.3933944147642108,6.944444444444445
