x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89630.0674883,43130.6945594,0,0,0,0.890873539370615,0.454251402693788,9.975
89628.3148229,43133.1098699,0,0,0,0.887678675528812,0.460463428527623,10.5
89626.5962446,43135.5491846,0,0,0,0.886575841355123,0.462583265505203,10.5
89624.8893618,43137.9966586,0,0,0,0.886617734815758,0.462502964650145,10.5
89623.1819638,43140.4439264,0,0,0,0.886022717946053,0.463641826503486,10.4
89621.4806511,43142.8958758,0,0,0,0.885840474432586,0.463989928615968,10.4
89619.7813115,43145.3490954,0,0,0,0.884065474074655,0.467363068234061,10.4
89618.100974,43147.8148295,0,0,0,0.881733897554199,0.471747107997369,10.4
89616.4459781,43150.2959718,0,0,0,0.874732935399425,0.484605294778652,10.4
89614.8648117,43152.8237383,0,0,0,0.852035263186978,0.523484393545688,10.4
89613.5157321,43155.4866665,0,0,0,0.798824914890966,0.601563592107635,10.4
89612.6932589,43158.3481709,0,0,0,0.70285399554554,0.711334141557728,10.4
89612.7291468,43161.3404789,0,0,0,0.568884395238338,0.822417500333201,9.405
89613.7741219,43164.1124982,0,0,0,0.332024351633184,0.943270814730618,9.405
89616.038489,43165.9320151,0,0,0,0.0957611796389797,0.995404338183309,9.405
89618.9507637,43166.4975904,0,0,0,-0.171465985808617,0.985190040403718,9.405
89621.7102618,43165.5070397,0,0,0,-0.372298136465108,0.928113192226362,9.405
89623.8840814,43163.4286152,0,0,0,-0.433471614616333,0.901167220510105,9.69
89625.7384085,43161.107721,0,0,0,-0.507720281680077,0.861521976255222,9.9275
89627.1816511,43158.5014474,0,0,0,-0.535708698832053,0.84440286001154,9.9275
89628.4528769,43155.8019154,0,0,0,-0.557544101049664,0.830147321494638,9.975
89629.5826044,43153.0374306,0,0,0,-0.569086621168504,0.822277579414042,9.975
89630.6338945,43150.2444985,0,0,0,-0.477121357666065,0.878837419582764,9.9275
89632.2522925146,43147.752848443,0,0,0,-0.551099706575186,0.834439400683323,9.975
89633.2096785708,43145.5099176841,0,0,0,-0.518682829385151,0.854966737657679,9.975
89634.4584429919,43143.1123020454,0,0,0,-0.493340113719288,0.869836497392148,9.9275
89636.12346222,43140.3279742068,0,0,0,-0.352613983997767,0.935768870121903,9.69
89638.4128636586,43138.3170707678,0,0,0,-0.232369784246591,0.972627515223167,9.69
89640.7022650972,43137.1569341684,0,0,0,-0.0544057429275845,0.998518910755574,9.9
89642.8251646131,43136.9249068485,0,0,0,0.160678037791352,0.987006873416554,9.9
89644.9064386482,43137.6209888081,0,0,0,0.343524068701276,0.939143873015695,9.9
89646.7379597991,43139.1678376073,0,0,0,0.554015930697027,0.832506065163436,9.9
89647.6120948939,43141.2560834863,0,0,0,0.699455895980281,0.71467576534987,9.9
89647.6953458553,43145.1232054843,0,0,0,0.85527889086111,0.518167944635125,10.5
89646.3217049921,43147.752848443,0,0,0,0.855457772814887,0.517872570166246,10.5
89644.8648131675,43150.5371762816,0,0,0,0.882001167353983,0.471247218332598,10.5
89643.1581684587,43153.0894768003,0,0,0,0.909974102357047,0.414665085387577,10.5
89641.4098982692,43155.1003802393,0,0,0,0.931912011641939,0.36268443936496,10.5
